"id_lago","nombre_cota","nombre_real","latitud","longitud","id_lago_api","created_at","updated_at","superficie_km2"
13,dcolbu,Colbun,-35.6813,-71.3261,1,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:00.688 -0400,57.0
14,dmachi,Machicura,-35.7188,-71.3892,2,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:00.876 -0400,8.0
10,dchapo,Chapo,-41.4549,-72.4907,3,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:01.032 -0400,50.0
1,dangos,Angostura,-37.7125,-71.8171,4,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:01.188 -0400,45.0
2,drapel,Rapel,-34.1785,-71.477,5,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:01.345 -0400,80.0
3,dinver,Invernada,-35.7088,-70.7561,6,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:01.501 -0400,3.4
4,dmaule,Maule,-36.0505,-70.504,7,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:01.657 -0400,68.0
5,dlaja,Laja,-37.3168,-71.2909,8,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:01.813 -0400,119.0
6,dpolcu,Polcura,-37.3303,-71.5492,9,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:01.970 -0400,36.7
7,dralco,Ralco,-38.046,-71.4743,10,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:02.126 -0400,40.0
8,dpangu,Pangue,-37.9122,-71.6106,11,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:02.282 -0400,23.5
11,dpullin,Pullinque,-39.5652,-72.1481,12,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:02.439 -0400,6.0
9,dmelad,Melado,-35.7817,-71.0808,13,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:02.579 -0400,3.0
12,dpuyehue,Pilmaiquen,-40.6764,-72.489,14,2023-06-19 15:27:54.402 -0400,2023-07-04 12:20:02.735 -0400,162.0
